2019-09-24 16:52:41,020 - INFO - Checking if clamp-backend  is ready
2019-09-24 16:52:41,962 - INFO - clamp-backend is not ready.
2019-09-24 16:52:41,963 - INFO - clamp-backend is not ready.
2019/09/24 19:08:13.262886 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:08:43.262981 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:09:13.263035 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:09:43.262912 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:10:13.262954 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:10:43.262874 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:11:13.262896 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:11:43.262900 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:12:13.262977 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:12:43.262984 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:13:13.263078 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:13:43.263125 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:14:13.263160 metrics.go:34: INFO No non-zero metrics in the last 30s
